0000BF30 0000BF3A ?AddRef@CWaveInFilter@@WFI@AGKXZ
0000BF3F 0000C044 ?JoinFilterGraph@CVfwCapture@@UAGJPAUIFilterGraph@@PBG@Z
0000C049 0000C12A ?Load@CVfwCapture@@UAGJPAUIPropertyBag@@PAUIErrorLog@@@Z
0000C12F 0000C248 ??0CVfwCapture@@QAE@PAGPAUIUnknown@@PAJ@Z
0000C24D 0000C26E ??_GCVfwCapture@@UAEPAXI@Z
0000C273 0000C29E ?CreateInstance@CVfwCapture@@SGPAVCUnknown@@PAUIUnknown@@PAJ@Z
0000C2A3 0000C2F8 ??1CCapPreview@@UAE@XZ
0000C2FD 0000C37F ?NonDelegatingQueryInterface@CCapPreview@@UAGJABU_GUID@@PAPAX@Z
0000C384 0000C39B ?GetMediaType@CCapPreview@@UAEJHPAVCMediaType@@@Z
0000C3A0 0000C405 ?CheckMediaType@CCapPreview@@UAEJPBVCMediaType@@@Z
0000C40A 0000C43D ?ActiveRun@CCapPreview@@QAEJ_J@Z
