0000D9BA 0000D9F2 ?CancelBlockingCall@DTHREAD@@QAEHXZ
0000D9F7 0000DA55 ?DefaultBlockingHook@DTHREAD@@CGHXZ
0000DA69 0000DAA3 ?BlockingCallback@DTHREAD@@CGHK@Z
0000DAA8 0000DAC6 ?GetProtoInfo@DTHREAD@@QAEPAU_GETPROTO_INFO@@XZ
0000DACB 0000DAF4 ?SetBlockingHook@DTHREAD@@QAEP6GHXZP6GHXZ@Z
0000DAF9 0000DB07 ?UnhookBlockingHook@DTHREAD@@QAEHXZ
0000DB0C 0000DB95 _WSADuplicateSocketW@12
0000DB9A 0000DC00 _WSADuplicateSocketA@12
0000DC05 0000DC5A ?OpenInitializedCatalog@@YGPAVDCATALOG@@XZ
0000DC5F 0000DD79 _WSAEnumProtocolsA@12
0000DD91 0000DF48 ?GetProtoOpenNetworkDatabase@@YGPAU_iobuf@@PAD@Z
0000DFA8 0000DFD8 ?GetProtoPatternMatch@@YGPADPAD0@Z
0000DFDD 0000E0BF ?GetProtoGetNextEnt@@YGPAUprotoent@@PAU_iobuf@@PAU_GETPROTO_INFO@@@Z
0000E0CC 0000E189 _getprotobynumber@4
0000E18E 0000E28D _getprotobyname@4
0000E2A1 0000E2BE ?UnpackServEnt@@YGXPAUservent@@@Z
0000E2C3 0000E342 _WSAAsyncGetProtoByNumber@20
0000E347 0000E384 _WSACancelAsyncRequest@4
0000E389 0000E3CF ?Local_Ip6AddressToString_A@@YGPADPADPATIP6_ADDRESS@@@Z
0000E3D9 0000E417 ?Local_Ip4AddressToString_A@@YGPADPADPAK@Z
0000E429 0000E48C ?CopyServEnt@DTHREAD@@QAEPADPAUtagBLOB@@@Z
0000E491 0000E5B0 _gethostbyaddr@12
0000E5B5 0000E6F5 _getservbyport@8
0000E703 0000E90E _getservbyname@8
0000E913 0000E998 _WSAAsyncGetServByPort@24
0000E99D 0000EA3E _WSAAsyncGetHostByName@20
0000EA43 0000EAE8 _WSAAsyncGetHostByAddr@28
0000EAED 0000EB8E _WSAAsyncGetProtoByName@20
0000EB93 0000EB99 ?GetCurrentCatalogName@NSCATALOG@@SGPADXZ
0000EB9E 0000EC5E ?WriteToRegistry@NSCATALOG@@QAEHXZ
0000EC63 0000ECF0 ?GetCountedCatalogItemFromProviderId@NSCATALOG@@QAEHPAU_GUID@@PAPAVNSCATALOGENTRY@@@Z
0000ECF5 0000ED7C ?InitializeFromValues@NSCATALOGENTRY@@QAEHPAG0PAU_GUID@@KK@Z
0000ED81 0000ED90 ?Enable@NSCATALOGENTRY@@QAEXE@Z
0000ED95 0000EE1B ?WriteToRegistry@NSCATALOGENTRY@@QAEHPAUHKEY__@@H@Z
0000EE20 0000EE54 ?GuidMatcher@@YGHPAXPAVNSCATALOGENTRY@@@Z
0000EE59 0000EF7C _WSCEnableNSProvider@8
0000EF91 0000F003 ?ProviderSnap@@YGHPAXPAVNSCATALOGENTRY@@@Z
0000F019 0000F148 _WSCWriteNameSpaceOrder@8
0000F14D 0000F2E9 _WSCInstallNameSpace@20
0000F319 0000F440 _WSCUnInstallNameSpace@4
0000F451 0000F46B ?PreviousProvider@NSQUERY@@AAEPAVNSPROVIDERSTATE@@PAV2@@Z
0000F470 0000F4F8 _WSAGetQOSByName@12
0000F5EE 0000F665 _WSARecvDisconnect@8
0000F66A 0000F720 _WSARecvFrom@36
0000F725 0000F744 ?NSPSetService@NSPROVIDER@@QAGHPAU_WSAServiceClassInfoW@@PAU_WSAQuerySetW@@W4_WSAESETSERVICEOP@@K@Z
0000F749 0000F75F ?NSPInstallServiceClass@NSPROVIDER@@QAGHPAU_WSAServiceClassInfoW@@@Z
0000F764 0000F77A ?NSPRemoveServiceClass@NSPROVIDER@@QAGHPAU_GUID@@@Z
0000F77F 0000F798 ?NSPGetServiceClassInfo@NSPROVIDER@@QAGHPAKPAU_WSAServiceClassInfoW@@@Z
0000F79D 0000F7D1 ?CalculateBufferSize@@YGHPAXPAVNSCATALOGENTRY@@@Z
0000F7D6 0000F848 ?CopyFixedPortionNameSpaceInfo@@YGHPAXPAVNSCATALOGENTRY@@@Z
0000F859 0000F8F8 ?CopyVariablePortionNameSpaceInfo@@YGHPAXPAVNSCATALOGENTRY@@@Z
0000F909 0000F9CE ?EnumNameSpaceProviders@@YGHPAVNSCATALOG@@HPAKPAU_WSANAMESPACE_INFOW@@1@Z
0000F9E1 0000FA3C _WSAEnumNameSpaceProvidersA@8
0000FA41 0000FA9C _WSAEnumNameSpaceProvidersW@8
0000FAA1 0000FAC2 ?Initialize@NSCATALOGENTRYSTATE@@QAEHPAVNSCATALOGENTRY@@@Z
0000FAC7 0000FAF5 ?GetProvider@NSCATALOGENTRYSTATE@@QAEPAVNSPROVIDER@@PAVNSCATALOG@@@Z
0000FAFA 0000FB82 ?MatchProviders@@YGHPAXPAVNSCATALOGENTRY@@@Z
0000FB87 0000FB9E ??1NSCATALOGENTRYSTATE@@QAE@XZ
0000FBA3 0000FBC4 ??_GNSCATALOGENTRYSTATE@@QAEPAXI@Z
0000FBC9 0000FCAF _WSAInstallServiceClassW@4
0000FCB4 0000FD9A _WSARemoveServiceClass@4
0000FD9F 0000FF6C _WSAGetServiceClassNameByClassIdA@12
0000FF81 00010142 _WSAGetServiceClassNameByClassIdW@12
00010159 0001026E _WSAGetServiceClassInfoW@16
00010281 000103AB _WSASetServiceW@12
000103C1 0001043B _WSAInstallServiceClassA@4
00010440 000104CD _WSAGetServiceClassInfoA@16
000104D2 00010546 _WSASetServiceA@12
0001054B 0001062E ?CalculateBufferSize@@YGKHPAX@Z
00010633 000107C3 ?MapAnsiServiceClassInfoToUnicode@@YGHPAU_WSAServiceClassInfoA@@PAKPAU_WSAServiceClassInfoW@@@Z
000107D9 0001096D ?MapUnicodeServiceClassInfoToAnsi@@YGHPAU_WSAServiceClassInfoW@@PAKPAU_WSAServiceClassInfoA@@@Z
00010981 0001098C _WPUFDIsSet@8
