0000D548 0000D56A ?GetIDsOfNames@?$IDispatchImpl@UINetFwAuthorizedApplication@@$1?_GUID_b5e64ffa_c2c5_444e_a301_fb5e00018050@@3U__s_GUID@@B$1?LIBID_NetFwTypeLib@@3U_GUID@@B$00$0A@VCComTypeInfoHolder@ATL@@@ATL@@UAGJABU_GUID@@PAPAGIKPAJ@Z
0000D56F 0000D5B6 ?Invoke@?$IDispatchImpl@UINetFwAuthorizedApplication@@$1?_GUID_b5e64ffa_c2c5_444e_a301_fb5e00018050@@3U__s_GUID@@B$1?LIBID_NetFwTypeLib@@3U_GUID@@B$00$0A@VCComTypeInfoHolder@ATL@@@ATL@@UAGJJABU_GUID@@KGPAUtagDISPPARAMS@@PAUtagVARIANT@@PAUtagEXCEPINFO@@PAI@Z
0000D5BB 0000D5DF ?GetTypeInfo@?$IDispatchImpl@UINetFwMgrPrivate@@$1?_GUID_4fbe7fe9_4ad1_4d70_bb77_66963016fd09@@3U__s_GUID@@B$1?LIBID_NetFwTypeLib@@3U_GUID@@B$00$0A@VCComTypeInfoHolder@ATL@@@ATL@@UAGJIKPAPAUITypeInfo@@@Z
0000D5E4 0000D606 ?GetIDsOfNames@?$IDispatchImpl@UINetFwMgrPrivate@@$1?_GUID_4fbe7fe9_4ad1_4d70_bb77_66963016fd09@@3U__s_GUID@@B$1?LIBID_NetFwTypeLib@@3U_GUID@@B$00$0A@VCComTypeInfoHolder@ATL@@@ATL@@UAGJABU_GUID@@PAPAGIKPAJ@Z
0000D60B 0000D652 ?Invoke@?$IDispatchImpl@UINetFwMgrPrivate@@$1?_GUID_4fbe7fe9_4ad1_4d70_bb77_66963016fd09@@3U__s_GUID@@B$1?LIBID_NetFwTypeLib@@3U_GUID@@B$00$0A@VCComTypeInfoHolder@ATL@@@ATL@@UAGJJABU_GUID@@KGPAUtagDISPPARAMS@@PAUtagVARIANT@@PAUtagEXCEPINFO@@PAI@Z
0000D657 0000D67B ?GetTypeInfo@?$IDispatchImpl@UINetFwOpenPort@@$1?_GUID_e0483ba0_47ff_4d9c_a6d6_7741d0b195f7@@3U__s_GUID@@B$1?LIBID_NetFwTypeLib@@3U_GUID@@B$00$0A@VCComTypeInfoHolder@ATL@@@ATL@@UAGJIKPAPAUITypeInfo@@@Z
0000D680 0000D6A2 ?GetIDsOfNames@?$IDispatchImpl@UINetFwOpenPort@@$1?_GUID_e0483ba0_47ff_4d9c_a6d6_7741d0b195f7@@3U__s_GUID@@B$1?LIBID_NetFwTypeLib@@3U_GUID@@B$00$0A@VCComTypeInfoHolder@ATL@@@ATL@@UAGJABU_GUID@@PAPAGIKPAJ@Z
0000D6A7 0000D6EE ?Invoke@?$IDispatchImpl@UINetFwOpenPort@@$1?_GUID_e0483ba0_47ff_4d9c_a6d6_7741d0b195f7@@3U__s_GUID@@B$1?LIBID_NetFwTypeLib@@3U_GUID@@B$00$0A@VCComTypeInfoHolder@ATL@@@ATL@@UAGJJABU_GUID@@KGPAUtagDISPPARAMS@@PAUtagVARIANT@@PAUtagEXCEPINFO@@PAI@Z
0000D6F3 0000D75F ?CreateInstance@?$CComCreator@V?$CComObjectNoLock@VCComClassFactory@ATL@@@ATL@@@ATL@@SGJPAXABU_GUID@@PAPAX@Z
0000D764 0000D787 ?CreateInstance@?$CComCreator2@V?$CComCreator@V?$CComObject@VFwMgr@@@ATL@@@ATL@@V?$CComFailCreator@$0?HPPLPOPA@@2@@ATL@@SGJPAXABU_GUID@@PAPAX@Z
0000D78C 0000D7AF ?CreateInstance@?$CComCreator2@V?$CComCreator@V?$CComObject@VFwOpenPort@@@ATL@@@ATL@@V?$CComFailCreator@$0?HPPLPOPA@@2@@ATL@@SGJPAXABU_GUID@@PAPAX@Z
0000D7B4 0000D7D7 ?CreateInstance@?$CComCreator2@V?$CComCreator@V?$CComObject@VFwAuthApp@@@ATL@@@ATL@@V?$CComFailCreator@$0?HPPLPOPA@@2@@ATL@@SGJPAXABU_GUID@@PAPAX@Z
0000D7DC 0000D84B ?CreateInstance@?$CComCreator@V?$CComObject@VCUPnPNAT@@@ATL@@@ATL@@SGJPAXABU_GUID@@PAPAX@Z
0000D850 0000D8D9 ?CreateInstance@?$CComCreator@V?$CComObject@VCHNetCfgMgr@@@ATL@@@ATL@@SGJPAXABU_GUID@@PAPAX@Z
0000D8DE 0000D955 ?CreateInstance@?$CComCreator@V?$CComAggObject@VCHNetCfgMgr@@@ATL@@@ATL@@SGJPAXABU_GUID@@PAPAX@Z
0000D95A 0000D9D4 ?CreateInstance@?$CComCreator@V?$CComObject@VCNetSharingManager@@@ATL@@@ATL@@SGJPAXABU_GUID@@PAPAX@Z
0000D9D9 0000DA0E ??0?$CComAggObject@VCUPnPNAT@@@ATL@@QAE@PAX@Z
0000DA13 0000DA5D ??0?$CComAggObject@VCNetSharingManager@@@ATL@@QAE@PAX@Z
0000DA62 0000DA84 ?CreateInstance@?$CComCreator2@V?$CComCreator@V?$CComObject@VCHNetCfgMgr@@@ATL@@@ATL@@V?$CComCreator@V?$CComAggObject@VCHNetCfgMgr@@@ATL@@@2@@ATL@@SGJPAXABU_GUID@@PAPAX@Z
0000DA89 0000DAF2 ?CreateInstance@?$CComCreator@V?$CComAggObject@VCUPnPNAT@@@ATL@@@ATL@@SGJPAXABU_GUID@@PAPAX@Z
0000DAF7 0000DB60 ?CreateInstance@?$CComCreator@V?$CComAggObject@VCNetSharingManager@@@ATL@@@ATL@@SGJPAXABU_GUID@@PAPAX@Z
0000DB65 0000DC02 ?get_NetConnectionProps@CNetSharingManager@@UAGJPAUINetConnection@@PAPAUINetConnectionProps@@@Z
0000DC07 0000DC4A ?Initialize@CNetConnectionProps@@QAEJPAUINetConnection@@@Z
0000DC4F 0000DCC4 ?CreateInstance@?$CComObject@VCNetConnectionProps@@@ATL@@SGJPAPAV12@@Z
0000DCC9 0000DD06 ??1CNetConnectionProps@@QAE@XZ
0000DD0B 0000DDBA ?get_Guid@CNetConnectionProps@@UAGJPAPAG@Z
0000DDBF 0000DE4F ?get_Name@CNetConnectionProps@@UAGJPAPAG@Z
0000DE54 0000DEE4 ?get_DeviceName@CNetConnectionProps@@UAGJPAPAG@Z
0000DEE9 0000DF64 ?get_Status@CNetConnectionProps@@UAGJPAW4tagNETCON_STATUS@@@Z
0000DF69 0000DFE6 ?get_MediaType@CNetConnectionProps@@UAGJPAW4tagNETCON_MEDIATYPE@@@Z
0000DFEB 0000E068 ?get_Characteristics@CNetConnectionProps@@UAGJPAK@Z
0000E06D 0000E089 ?QueryInterface@?$CComObject@VCNetConnectionProps@@@ATL@@UAGJABU_GUID@@PAPAX@Z
0000E08E 0000E0C2 ?Release@?$CComObject@VCNetConnectionProps@@@ATL@@UAGKXZ
0000E0C7 0000E10C ??1?$CComObject@VCNetConnectionProps@@@ATL@@QAE@XZ
0000E111 0000E135 ?GetTypeInfo@?$IDispatchImpl@UINetConnectionProps@@$1?IID_INetConnectionProps@@3U_GUID@@B$1?LIBID_NETCONLib@@3U3@B$00$0A@VCComTypeInfoHolder@ATL@@@ATL@@UAGJIKPAPAUITypeInfo@@@Z
0000E13A 0000E15C ?GetIDsOfNames@?$IDispatchImpl@UINetConnectionProps@@$1?IID_INetConnectionProps@@3U_GUID@@B$1?LIBID_NETCONLib@@3U3@B$00$0A@VCComTypeInfoHolder@ATL@@@ATL@@UAGJABU_GUID@@PAPAGIKPAJ@Z
