00027A0F 00027A36 ??0?$AutoBuffer@UotlFeatureDesc@@$03@@QAE@H@Z
00027A3B 000283E2 ?ArabicOtlShape@@YGJPAUHDC__@@PAPAXPBGHHPAUtag_SCRIPT_ANALYSIS@@PAG4PAUtag_SCRIPT_VISATTR@@PAH@Z
000283E7 00028B3D ?ArabicOtlPlace@@YGJPAUHDC__@@PAPAXPBGHPBUtag_SCRIPT_VISATTR@@PAUtag_SCRIPT_ANALYSIS@@PAHPAUtagGOFFSET@@PAU_ABC@@@Z
00028B42 00028C32 ?ArabicBreak@@YGJPBGHPBUtag_SCRIPT_ANALYSIS@@PAUtag_SCRIPT_LOGATTR@@@Z
00028C37 00028CCC ?CdmLoadTbl@@YGJPAUHDC__@@PAUFACE_CACHE@@H@Z
00028CD1 00028CEA ?CdmFreeTbl@@YGJPAUFACE_CACHE@@H@Z
00028CEF 00028F3E ?ComposeWChars@@YGKPBGKPAG@Z
00028F43 000292BB ?CdmShape@@YGJPAUHDC__@@PAPAXPBGHHPAUtag_SCRIPT_ANALYSIS@@PAG4PAUtag_SCRIPT_VISATTR@@PAH@Z
000292C0 0002935D ?CdmBreak@@YGJPBGHPBUtag_SCRIPT_ANALYSIS@@PAUtag_SCRIPT_LOGATTR@@@Z
00029362 000293A1 ?UnicodeCopyString@@YGHPAG0H@Z
000293A6 000293DE ?UnicodeCopyFromAnsiString@@YGHPAGPADH@Z
000293E3 00029429 ?UnicodeCmp@@YGHPAG0@Z
0002942E 0002949D ?UnicodeICmp@@YGHPAG0@Z
0002AA2D 0002AAD8 ?ttoGetTableInfo@@YGKPAUTTOInput@@PAUTTOOutput@@@Z
0002AADD 0002AB4C ?ttoGetTableData@@YGKPAUTTOInput@@PAUTTOOutput@@@Z
0002AB51 0002ABCF ?EnumScripts@@YGHPBUScriptRecord@@HPBEPAI@Z
0002ABD4 0002AC14 ?BoundCheckTableListRecords@@YGHPBEHHGPAH@Z
0002AC19 0002ACB3 ?LoadOpenTypeSupportedScripts@@YGXPBEIPAI@Z
0002ACB8 0002ACDE ?DeleteHebrewShapingTables@@YGJPAU_HEBREW_SHAPE_Structtag@@@Z
0002ACE3 0002AD5B ?GetHebrewLigCount@@YGKPAUHDC__@@PAUFACE_CACHE@@PAG2PAU_HEB_LIGATURE_INFO_Structtag@@GPAE@Z
0002AD60 0002ADEF ?GetHebrewRuntimeState@@YGKPAU_INDEX2LIGINFO@@PAGK@Z
0002ADF4 0002AE5C ?LookupHebrewRuntimeState@@YGKPAU_INDEX2LIGINFO@@PAGK@Z
0002AE61 0002AE94 ?GetHebrewFSMSize@@YGXPAU_INDEX2LIGINFO@@PAK@Z
0002AE99 0002AEE6 ?HebComparePutout@@YGHPAU_HEBREW_PUTOUTDATA@@PAG1G@Z
0002AEEB 0002AF2F ?GetHebrewPutoutData@@YGHPAU_HEBREW_SHAPE_Structtag@@PAGK11@Z
0002AF34 0002B039 ?CreateHebrewStaticDCL@@YGHPAT_DCL_Structtag@@@Z
0002B03E 0002B0CD ?CreateHebrewDynamicDCL@@YGHPAT_DCL_Structtag@@PAE@Z
0002B0D2 0002B10A ?CopyStaticHebrewFSM@@YGXPAU_HEBREW_FSMCELL_Structtag@@K@Z
0002B10F 0002B21D ?BuildHebrewFixedStateDynamicInputs@@YGXPAU_HEBREW_SHAPE_Structtag@@PAU_INDEX2LIGINFO@@PAE@Z
0002B222 0002B240 ?IsHebrewBitmapFont@@YGJPAUFACE_CACHE@@@Z
0002B245 0002B274 ?IsHebrewOldTTFFont@@YGJPAUFACE_CACHE@@@Z
0002B279 0002B2B9 ?ReorderCluster@@YGXHHPAGPAH0@Z
0002B2BE 0002B3B7 ?VerifyCharacterOrder@@YGXPAGH@Z
0002B3BC 0002B40F ?NeedsReorder@@YGHPAGH@Z
0002B414 0002B497 ?GetHebrewLigStates@@YGXPAU_INDEX2LIGINFO@@PAU_HEB_LIGATURE_INFO_Structtag@@PAE2PAK@Z
0002B49C 0002B534 ?AddToHebPutoutList@@YGGPAU_HEBREW_PUTOUTINFO_Structtag@@PAG1GG@Z
0002B539 0002B732 ?BuildHebrewDynamicStatesFixedInputs@@YGXPAU_HEBREW_SHAPE_Structtag@@PAEPAU_HEB_LIGATURE_INFO_Structtag@@PAU_INDEX2LIGINFO@@PAG@Z
0002B737 0002B9EB ?BuildDynamicLigInfoIntoFSM@@YGXPAU_HEBREW_SHAPE_Structtag@@PAEPAU_HEB_LIGATURE_INFO_Structtag@@PAU_INDEX2LIGINFO@@PAG@Z
0002B9F0 0002BD8F ?LoadHebrewShapingTables@@YGJPAUHDC__@@PAUFACE_CACHE@@PAPAU_HEBREW_SHAPE_Structtag@@@Z
0002BD94 0002BDE0 ?GetHebrewCharClass@@YGEG@Z
0002BDE5 0002BE37 ?GetInitialHebrewShape@@YGXPAUtag_HebrewShapeInfo@@EPAE@Z
0002BE3C 0002BE5F ?GetHebrewJustification@@YGEGE@Z
0002BE64 0002C01B ?ShapeHebrewText@@YGXPAGGGPBUtag_SCRIPT_ANALYSIS@@PAUtag_HebrewShapeInfo@@0@Z
