0000E312 0000E3D4 ?DeActivateObj@COleObject@@QAEJXZ
0000E3D9 0000E4CB ?Resize@COleObject@@QAEXABUtagRECT@@@Z
0000E4D0 0000E5BE ?OnUIDeactivate@COleObject@@UAGJH@Z
0000E5C3 0000E626 ??0COleObject@@QAE@PAVCTxtEdit@@@Z
0000E62B 0000E64C ??_GCOleObject@@EAEPAXI@Z
0000E651 0000E6B6 ?Delete@COleObject@@QAEXPAVIUndoBuilder@@@Z
0000E6BB 0000E9D6 ?HandleResize@COleObject@@QAEHABUtagPOINT@@@Z
0000E9DB 0000EA63 ?SetDC@CDevDesc@@QAEHPAUHDC__@@JJ@Z
0000EA68 0000EA8E ?SetMetafileDC@CDevDesc@@QAEXPAUHDC__@@JJ@Z
0000EA93 0000EA9D ?GetScreenDC@CDevDesc@@IBEPAUHDC__@@XZ
0000EAA2 0000EAB2 ?ReleaseScreenDC@CDevDesc@@IBEXPAUHDC__@@@Z
0000EAB7 0000EAD4 ?DXtoLX@CDevDesc@@QBEJJ@Z
0000EAD9 0000EAF6 ?DYtoLY@CDevDesc@@QBEJJ@Z
0000EAFB 0000EB6C ?GetUpdateRegion@CAccumDisplayChanges@@QAEXPAJ00PAH11@Z
0000EB71 0000EBCA ?UpdateRecalcRegion@CAccumDisplayChanges@@QAEXJJJ@Z
0000EBCF 0000EBEF ??0CDevDesc@@QAE@PAVCTxtEdit@@@Z
0000EBF4 0000EC27 ?FillBitmap@COffScreenDC@@QAEXJJ@Z
0000EC2C 0000EC67 ?Init@CDrawInfo@@QAEXKJPAXPAUtagDVTARGETDEVICE@@PAUHDC__@@@Z
0000EC6C 0000EC85 ?GetTargetDD@CDrawInfo@@QAEPBVCDevDesc@@XZ
0000EC8A 0000ECAE ?AdjustFEHeight@CCcs@@QAEFH@Z
0000ECB3 0000ECD6 ?SaveUpdateCaret@CAccumDisplayChanges@@QAEXH@Z
0000ECDB 0000ED02 ?ConvertScrollToXPos@CDisplay@@IAEJJ@Z
0000ED07 0000ED2E ?ConvertXPosToScrollPos@CDisplay@@IAEJJ@Z
0000ED33 0000ED71 ?InitFromDisplay@CDisplay@@QAEXPBV1@@Z
0000ED76 0000ED94 ?Init@CDisplay@@UAEHXZ
0000ED99 0000ED9F ?MergeData@CBaseAE@@UAEJKPAX@Z
0000EDA4 0000EDAA ?SetTargetDC@CDisplay@@UAEHPAUHDC__@@JJ@Z
0000EDAF 0000EE03 ?SetDrawInfo@CDisplay@@QAEXPAVCDrawInfo@@KJPAXPAUtagDVTARGETDEVICE@@PAUHDC__@@@Z
0000EE08 0000EE19 ?ReleaseDrawInfo@CDisplay@@QAEXXZ
0000EE1E 0000EE4D ?GetTargetDev@CDisplay@@QBEPBVCDevDesc@@XZ
0000EE52 0000EE58 ?WaitForRecalcIli@CDisplay@@UAEHJ@Z
0000EE5D 0000EEA3 ?UpdateViewRectState@CDisplay@@AAEXPBUtagRECT@@@Z
0000EEA8 0000EEFA ?RecalcView@CDisplay@@QAEHABUtagRECT@@PAU2@@Z
0000EEFF 0000EF26 ?FinishSmoothVScroll@CDisplay@@QAEXXZ
0000EF2B 0000EF5E ?CheckInstallSmoothVScroll@CDisplay@@QAEHXZ
0000EF63 0000EF8F ?CheckRemoveSmoothVScroll@CDisplay@@QAEXXZ
0000EF94 0000EF97 ?LineScroll@CDisplay@@UAEXJJ@Z
0000EF9C 0000EFA1 ?IMEMouseOperation@CIme_Protected@@UAEHAAVCTextMsgFilter@@I@Z
