0000402E 00004069 ?IDirectDrawSurface3AggBlt@@YGJPAUIDirectDrawSurface3@@PAUtagRECT@@01KPAU_DDBLTFX@@@Z
0000406E 00004087 ?IDirectDrawSurface3AggGetPalette@@YGJPAUIDirectDrawSurface3@@PAPAUIDirectDrawPalette@@@Z
0000408C 000040A5 ?IDirectDrawSurface3AggSetPalette@@YGJPAUIDirectDrawSurface3@@PAUIDirectDrawPalette@@@Z
000040AA 000040C1 ?IDirectDrawSurface4AggGetDDInterface@@YGJPAUIDirectDrawSurface4@@PAPAX@Z
000040C6 000040DF ?IDirectDrawSurface3AggGetSurfaceDesc@@YGJPAUIDirectDrawSurface3@@PAU_DDSURFACEDESC@@@Z
000040E4 000040FB ?IDirectDrawSurface2AggReleaseDC@@YGJPAUIDirectDrawSurface2@@PAUHDC__@@@Z
00004100 00004121 ?IDirectDrawSurface4AggLock@@YGJPAUIDirectDrawSurface4@@PAUtagRECT@@PAU_DDSURFACEDESC2@@KPAX@Z
00004126 00004141 ?IDirectDrawSurface4AggUnlock@@YGJPAUIDirectDrawSurface4@@PAUtagRECT@@@Z
00004146 00004162 ?IDirectDrawSurface4AggFlip@@YGJPAUIDirectDrawSurface4@@0K@Z
00004167 000041A5 ?IDirectDrawSurface4AggBlt@@YGJPAUIDirectDrawSurface4@@PAUtagRECT@@01KPAU_DDBLTFX@@@Z
000041AA 000041C3 ?IDirectDrawSurface4AggGetPalette@@YGJPAUIDirectDrawSurface4@@PAPAUIDirectDrawPalette@@@Z
000041C8 000041E1 ?IDirectDrawSurface4AggSetPalette@@YGJPAUIDirectDrawSurface4@@PAUIDirectDrawPalette@@@Z
000041E6 000041FD ?IDirectDrawSurface4AggGetSurfaceDesc@@YGJPAUIDirectDrawSurface4@@PAU_DDSURFACEDESC2@@@Z
00004202 0000436F ??0CDDSurface@@QAE@PAU_DDSURFACEDESC@@PAUIDirectDrawSurface@@PAUIDirectDrawSurface2@@PAUIDirectDrawSurface3@@PAUIDirectDrawSurface4@@PAUIUnknown@@PAVCDirectDrawEx@@@Z
00004374 0000447D ?CleanUpSurface@CDDSurface@@QAEXXZ
00004482 000045A6 ?DeleteAttachment@CDDSurface@@QAEXPAUIDirectDrawSurface@@PAV1@@Z
000045AB 00004704 ??1CDDSurface@@QAE@XZ
00004709 000047DA ?CreateSimpleSurface@CDDSurface@@SGJPAU_DDSURFACEDESC@@PAUIDirectDrawSurface@@PAUIDirectDrawSurface2@@PAUIDirectDrawSurface3@@PAUIDirectDrawSurface4@@PAUIUnknown@@PAVCDirectDrawEx@@PAPAU3@K@Z
000047DF 00004887 ?InternalAddAttachedSurface@CDDSurface@@QAEJPAUIDirectDrawSurface@@K@Z
0000488C 00004AA4 ?InternalDeleteAttachedSurface@CDDSurface@@QAEJKPAUIDirectDrawSurface@@K@Z
00004AA9 00004C0D ?InternalGetAttachedSurface@CDDSurface@@QAEJPAU_DDSCAPS@@PAPAUIDirectDrawSurface@@K@Z
00004C12 00004CD4 ?InternalGetAttachedSurface4@CDDSurface@@QAEJPAU_DDSCAPS2@@PAPAUIDirectDrawSurface@@@Z
00004CD9 00004CFA ??_GCDDSurface@@QAEPAXI@Z
00004CFF 00004D1B ?IDirectDrawSurfaceAggGetAttachedSurface@@YGJPAUIDirectDrawSurface@@PAU_DDSCAPS@@PAPAU1@@Z
00004D20 00004D39 ?IDirectDrawSurfaceAggAddAttachedSurface@@YGJPAUIDirectDrawSurface@@0@Z
00004D3E 00004D5A ?IDirectDrawSurfaceAggDeleteAttachedSurface@@YGJPAUIDirectDrawSurface@@K0@Z
00004D5F 00004D7B ?IDirectDrawSurface2AggGetAttachedSurface@@YGJPAUIDirectDrawSurface2@@PAU_DDSCAPS@@PAPAU1@@Z
00004D80 00004D99 ?IDirectDrawSurface2AggAddAttachedSurface@@YGJPAUIDirectDrawSurface2@@0@Z
00004D9E 00004DBA ?IDirectDrawSurface2AggDeleteAttachedSurface@@YGJPAUIDirectDrawSurface2@@K0@Z
00004DBF 00004DDB ?IDirectDrawSurface3AggGetAttachedSurface@@YGJPAUIDirectDrawSurface3@@PAU_DDSCAPS@@PAPAU1@@Z
00004DE0 00004DF9 ?IDirectDrawSurface3AggAddAttachedSurface@@YGJPAUIDirectDrawSurface3@@0@Z
00004DFE 00004E1A ?IDirectDrawSurface3AggDeleteAttachedSurface@@YGJPAUIDirectDrawSurface3@@K0@Z
00004E1F 00004E39 ?IDirectDrawSurface4AggGetAttachedSurface@@YGJPAUIDirectDrawSurface4@@PAU_DDSCAPS2@@PAPAU1@@Z
00004E3E 00004E57 ?IDirectDrawSurface4AggAddAttachedSurface@@YGJPAUIDirectDrawSurface4@@0@Z
00004E5C 00004E78 ?IDirectDrawSurface4AggDeleteAttachedSurface@@YGJPAUIDirectDrawSurface4@@K0@Z
00004E7D 00004EB9 ?NonDelegatingRelease@CDDSurface@@UAGKXZ
00004EBE 00004F1B ?NonDelegatingQueryInterface@CDDFactory@@UAGJABU_GUID@@PAPAX@Z
00004F31 00004F47 ?NonDelegatingAddRef@CDDFactory@@UAGKXZ
00004F4C 00004F76 ?NonDelegatingRelease@CDDFactory@@UAGKXZ
00004F7B 00004F95 ?QueryInterface@CDDFactory@@UAGJABU_GUID@@PAPAX@Z
00004F9A 00004FAF ?AddRef@CDDFactory@@UAGKXZ
00004FB4 00004FC9 ?Release@CDDFactory@@UAGKXZ
00004FCE 00005336 ?CreateDirectDraw@CDDFactory@@UAGJPAU_GUID@@PAUHWND__@@KKPAUIUnknown@@PAPAUIDirectDraw@@@Z
000053C7 000053DC ?DirectDrawEnumerateA@CDDFactory@@UAGJP6GHPAU_GUID@@PAD1PAX@Z2@Z
000053E1 00005419 ??0CDDFactory@@QAE@PAUIUnknown@@@Z
00005441 00005496 _DirectDrawFactory_CreateInstance@12
0000549B 000054FE ??1CDDPalette@@QAE@XZ
00005503 00005534 ?AddSurfaceToList@CDDPalette@@QAEXPAVCDDSurface@@@Z
00005539 00005575 ?RemoveSurfaceFromList@CDDPalette@@QAEXPAVCDDSurface@@@Z
0000557A 00005611 ?SetColorTable@CDDPalette@@QAEJPAVCDDSurface@@PAUtagPALETTEENTRY@@KK@Z
00005616 0000566C ?InternalSetEntries@CDDPalette@@QAGJKKKPAUtagPALETTEENTRY@@@Z
00005671 00005686 ?AddRef@CDDPalette@@QAGKXZ
0000568B 000056A0 ?Release@CDDPalette@@QAGKXZ
000056A5 000056F8 ?NonDelegatingQueryInterface@CDDPalette@@UAGJABU_GUID@@PAPAX@Z
000056FD 0000571E ?NonDelegatingAddRef@CDDPalette@@UAGKXZ
00005723 00005744 ??_GCDDPalette@@QAEPAXI@Z
00005749 00005761 ?IDirectDrawPaletteAggAddRef@@YGKPAUIDirectDrawPalette@@@Z
00005766 0000577E ?IDirectDrawPaletteAggRelease@@YGKPAUIDirectDrawPalette@@@Z
00005783 000057A4 ?IDirectDrawPaletteAggSetEntries@@YGJPAUIDirectDrawPalette@@KKKPAUtagPALETTEENTRY@@@Z
000057A9 00005806 ??0CDDPalette@@QAE@PAUIDirectDrawPalette@@PAUIUnknown@@PAVCDirectDrawEx@@@Z
0000580B 00005864 ?CreateSimplePalette@CDDPalette@@SGJPAUtagPALETTEENTRY@@PAUIDirectDrawPalette@@PAPAU3@PAUIUnknown@@PAVCDirectDrawEx@@@Z
00005869 000058A5 ?NonDelegatingRelease@CDDPalette@@UAGKXZ
000058AA 000058BB @__security_check_cookie@4
000058BB 000059B3 ___report_gsfailure
000059B8 000059BE _VerQueryValueA@16
000059C3 000059C9 _GetFileVersionInfoA@16
000059CE 000059D4 _GetFileVersionInfoSizeA@8
000059D9 000059DF _ReleaseDDThreadLock@0
000059E4 000059EA _AcquireDDThreadLock@0
