0003FA6B 0003FA7F ??3@YAXPAX@Z
0003FA84 0003FA89 ?OnUpdate@CSimpleTag@@UAEJ_N@Z
0003FA8E 0003FA93 ?FEnsureOfficeSettingsObject@GelHost@@SGHPAPAUIMsoPref@@H@Z
0003FA98 0003FA9E ?Hpal@GelHost@@SGPAUHPALETTE__@@XZ
0003FAA3 0003FAB4 ?SetHpal@GelHost@@SGXPAUHPALETTE__@@@Z
0003FAB9 0003FACC ?ReleaseMemCore@GelHost@@SGXPAX@Z
0003FAD1 0003FAE2 __MsoPvFree@8
0003FAE7 0003FAFA ?PvAllocCore@GelHost@@SGPAXHHPBDH@Z
0003FAFF 0003FB12 ?PvAllocCore@GelHost@@SGPAXHH@Z
0003FB17 0003FB22 ?PvAllocCore@IVGXFnsImp@@UAEPAXHH@Z
0003FB27 0003FB99 ?CrResolveSystemColor@GelHost@@SGKK@Z
0003FBEE 0003FBFA ?OASysAllocString@GelHost@@SGPAGPBG@Z
0003FBFF 0003FC0B ?OASysFreeString@GelHost@@SGXPAG@Z
0003FC10 0003FC27 ?PvRealloc@GelHost@@SGPAXPAXH@Z
0003FC2C 0003FC4D ?FAllocMemCore@GelHost@@SGHPAPAXHH@Z
0003FC52 0003FC5D _MsoFAllocMemCore@12
0003FC62 0003FC6D ?FreePv@IVGXFnsImp@@UAEXPAX@Z
0003FC72 0003FC97 ?FReallocMemCore@GelHost@@SGHPAPAXHHH@Z
0003FC9C 0003FCA7 _MsoFReallocMemCore@16
0003FCAC 0003FCCD ?FMarkMemCore@GelHost@@SGHPAPAXH@Z
0003FCD2 0003FCDD _MsoFMarkMemCore@8
0003FCE2 0003FD73 ?InitFeatures@GelHost@@SGXXZ
0003FD78 0003FDF7 ?FFeatureReg@@YG_NQBD@Z
0003FDFC 0003FE52 ?FFeatureEnabled@GelHost@@SG_NW4FeatureSet@1@_N@Z
0003FE57 0003FEF8 ?FSetFeature@GelHost@@SG_NW4FeatureSet@1@_N1@Z
0003FEFD 0003FF0C ?Init@GelHost@@SG_NPAUIVGXParser@@@Z
0003FF11 0003FF1D ?OALoadTypeLibEx@GelHost@@SGJPBGW4tagREGKIND@@PAPAUITypeLib@@@Z
0003FF22 0003FF2E ?OALoadRegTypeLib@GelHost@@SGJABU_GUID@@GGKPAPAUITypeLib@@@Z
0003FF33 0003FF4F _MsoFFeature@8
0003FF54 0003FF78 _MsoFSetFeature@12
0003FF7D 0003FF8E ??2@YAPAXIH@Z
0003FF93 0003FF99 ?HinstIntl@GelHost@@SGPAUHINSTANCE__@@XZ
0003FF9E 0003FFBF ??_GCObjectSafe@@UAEPAXI@Z
0003FFC4 00040012 ?QueryInterfaceExt@CExtTagFactory@@SGJPAXABU_GUID@@PAPAXK@Z
00040017 00040064 ?FIsSimpleTag@@YG_NW4VGXTagNameKeys@@@Z
00040069 0004006F ?PPage@CTagFactory@@QAEPAVIVMLContainer@@PAUIUnknown@@@Z
00040074 0004008B ?OnStop@CTagFactory@@QAEXXZ
00040090 000400BA ??0?$CSafeRefTo@VCTagFactory@@@@QAE@PAVCTagFactory@@@Z
