0001238F 0001245F ?GenericChainWalkSigner@@YGXPAU_CRYPT_PROVIDER_DATA@@PAU_CRYPT_PROVIDER_SGNR@@PAU_WTD_GENERIC_CHAIN_POLICY_CREATE_INFO@@@Z
00012464 00012596 ?GenericChainDefaultPolicyCallback@@YGJPAU_CRYPT_PROVIDER_DATA@@KKKPAPAU_WTD_GENERIC_CHAIN_POLICY_SIGNER_INFO@@PAX@Z
0001259B 000126E0 ?GenericChainCertificateTrust@@YGJPAU_CRYPT_PROVIDER_DATA@@@Z
000126E5 000128F4 ?GenericChainFinalProv@@YGJPAU_CRYPT_PROVIDER_DATA@@@Z
000128F9 00012A53 _HTTPSRegisterServer@0
00012ADD 00012B35 _HTTPSUnregisterServer@0
00012B3A 00012D18 ?HTTPSCertificateTrust@@YGJPAU_CRYPT_PROVIDER_DATA@@@Z
00012D1D 00012D6A ?GetErrorBasedOnStepErrors@@YGKPAU_CRYPT_PROVIDER_DATA@@@Z
00012D6F 00012E1A _HTTPSFinalProv@4
00012E1F 00012EE8 ?SoftpubDefCertInit@@YGJPAU_CRYPT_PROVIDER_DATA@@@Z
00012EED 00012FCF ?SoftpubLoadDefUsageCallData@@YGHPBDPAU_CRYPT_PROVIDER_DEFUSAGE@@@Z
00012FD4 0001300C ?SoftpubFreeDefUsageCallData@@YGHPBDPAU_CRYPT_PROVIDER_DEFUSAGE@@@Z
00013011 0001301E _AddPersonalTrustDBPages@12
00013023 000130C7 _OpenPersonalTrustDBDialogEx@12
000130DF 000130F4 _OpenPersonalTrustDBDialog@4
000130F9 00013280 _DriverInitializePolicy@4
0001329C 0001333F _DriverCleanupPolicy@4
0001344F 000134F7 ?UpdateDriverVersion@@YGXPAU_CRYPT_PROVIDER_DATA@@QAG@Z
000134FC 0001351F ?_ValidCatAttr@@YGHPAUCRYPTCATATTRIBUTE_@@@Z
00013524 00013658 ?_GetVersionNumbers@@YGHPAGPAK1100@Z
0001365D 00013734 _DriverRegisterServer@0
000137B3 0001380E _DriverUnregisterServer@0
00013813 00013991 ?_CheckVersionNEW@@YGKPAU_OSVERSIONINFOA@@PAGH@Z
00013996 00013C95 ?_CheckVersionAttributeNEW@@YGHPAUDRIVER_VER_INFO_@@PAUCRYPTCATATTRIBUTE_@@@Z
00013C9A 00013FC6 _DriverFinalPolicy@4
000147AE 00014A79 _FindCertsByIssuer@28
00014A84 00014A8A _OfficeUnregisterServer@0
00014A8F 00014A97 _OfficeInitializePolicy@4
00014A9C 00014B14 ?UpdateCertError@@YGXPAU_CRYPT_PROVIDER_SGNR@@PAU_CERT_CHAIN_POLICY_STATUS@@@Z
00014B19 00014B24 _OpenTrustedPublisherStore@0
00014B4B 00014DEF _SoftpubDllRegisterServer@0
00014E71 00014FC9 _SoftpubDllUnregisterServer@0
00014FCE 0001505B ?FPrintfU@@YAXPAXPAGZZ
00015060 0001512B ?GetStringDateTime@@YGXPAU_FILETIME@@PAG1@Z
00015141 000151D8 ?GetNameFromBlob@@YGPAGPAU_CRYPTOAPI_BLOB@@@Z
000151E5 000154C4 ?PrintfPFNs@@YGXPAXPAU_CRYPT_PROVIDER_DATA@@@Z
