0000C767 0000C76E ?fIs16bitTypePool@TPI1@@UAEHXZ
0000C773 0000C77A ?QueryTiMin@TPI1@@UAEKXZ
0000C77F 0000C786 ?QueryTiMac@TPI1@@UAEKXZ
0000C78B 0000C79F ?QueryTi16ForCVRecord@TPI1@@UAEHPAEPAG@Z
0000C7A4 0000C7B8 ?QueryCVRecordForTi16@TPI1@@UAEHGPAEPAJ@Z
0000C7BD 0000C7CF ?QueryTi16Min@TPI1@@UAEGXZ
0000C7D4 0000C7E6 ?QueryTi16Mac@TPI1@@UAEGXZ
0000C7EB 0000C7EF ?QueryCb@TPI1@@UAEJXZ
0000C7F6 0000C8B6 ?reload@?$Map@USZO@NMTNI@@KV?$HashClassWithContext@USZO@NMTNI@@VBuffer@pdb_internal@@$02@pdb_internal@@VBuffer@4@@pdb_internal@@QAEHPAPAEJ@Z
0000C8BD 0000C8ED ?reset@?$Map@KUSZO@NMTNI@@V?$HashClass@K$0A@@pdb_internal@@X@pdb_internal@@QAEXXZ
0000C8F4 0000C93F ?CopyDbg@PDBCopy@@AAEHXZ
0000C946 0000C972 ?add@ISet@pdb_internal@@QAIHI@Z
0000C979 0000CA29 ?grow@?$Map@KUSZO@NMTNI@@V?$HashClass@K$0A@@pdb_internal@@X@pdb_internal@@IAEHXZ
0000CA30 0000CA72 ?save@NMTNI@@QAEHPAVBuffer@pdb_internal@@@Z
0000CA77 0000CAF1 ??0PDB1@@IAE@PAUMSF@@PBG@Z
0000CB61 0000CB71 ?fIsSZPDB@PDB1@@UBEHXZ
0000CB78 0000CBDA ?add@?$Map@KUSZO@NMTNI@@V?$HashClass@K$0A@@pdb_internal@@X@pdb_internal@@QAEHKUSZO@NMTNI@@@Z
0000CBE1 0000CC56 ?savePdbStream@PDB1@@AAEHXZ
0000CC5D 0000CCDD ?OpenTpi@PDB1@@UAEHPBDPAPAUTPI@@@Z
0000CCE4 0000CD12 ?Commit@PDB1@@UAEHXZ
0000CD19 0000CD38 ??_GPDB1@@QAEPAXI@Z
0000CD3F 0000CD75 ?DoCopy@PDBCopy@@QAEHXZ
0000CD7C 0000CE17 ?reload@NMTNI@@QAEHPAPAEJ@Z
0000CE1E 0000CF08 ?loadPdbStream@PDB1@@AAEHPAUMSF@@PBGPAJPAGI@Z
0000CF0F 0000CF4E ?Close@PDB1@@UAEHXZ
0000CF55 0000D146 ?OpenEx2W@PDB1@@SAHPBGPBDKJPAJPAGIPAPAUPDB@@@Z
0000D167 0000D295 ?OpenValidate4@PDB1@@SAHPBGPBDPBU_GUID@@KKPAJPAGIPAPAUPDB@@@Z
0000D29C 0000D474 ?OpenTSPdb@PDB1@@SAHPBG0PBDABU_GUID@@KPAJPAGIPAPAUPDB@@@Z
0000D47B 0000D56D ?patchSigAndAge@PDB1@@CAHPBGKABU_GUID@@KK_N@Z
0000D574 0000D625 ?OpenEx@PDB1@@SAHPBD0KJPAJQADPAPAUPDB@@@Z
0000D62C 0000D907 ?CopyToW2@PDB1@@UAEHPBGKP6AP6AHXZPAXW4PCC@@@Z1@Z
0000D90E 0000D932 ?Open@PDB@@SAHPAD0KPAJQADPAPAU1@@Z
0000D939 0000D953 ?Free@?$SafeStackAllocator@$0EAA@@@IAEXXZ
0000D958 0000D98A ?AllocBytes@?$SafeStackAllocator@$0EAA@@@UAEPAXI@Z
0000D98F 0000D9BB ?AllocInHeap@?$SafeStackAllocator@$0EAA@@@IAEPAXI@Z
0000D9C0 0000D9CF ?QueryPdb@DBI1@@UAEHPAPAUPDB@@@Z
0000D9D6 0000DA0E ?fixBufGpmodi@DBI1@@KAXPAX00@Z
0000DA13 0000DA1E ?fixBufBase@DBI1@@KAXPAX00@Z
0000DA25 0000DA4C ?nullifyStream@@YAHPAUMSF@@PAG@Z
0000DA51 0000DA6E ??_ECRefCountedObj@@UAEPAXI@Z
0000DA73 0000DA9C ?SCCmp@@YAHPBX0@Z
0000DAA1 0000DAAE ?FStripped@DBI1@@UBE_NXZ
0000DAAE 0000DAC5 ?Contains@Buffer@pdb_internal@@QAE_NPAX@Z
0000DACC 0000DB03 ?SetInitAlloc@Buffer@pdb_internal@@QAEHJ@Z
0000DB08 0000DB0E ?QueryImplementationVersion@DBI1@@UAEKXZ
0000DB13 0000DB27 ?NoteModCloseForImod@DBI1@@IAEXG@Z
0000DB2E 0000DB93 ?Reserve@VirtualBuffer@pdb_internal@@QAEHJPAPAE@Z
0000DB98 0000DBC1 ?Commit@VirtualBuffer@pdb_internal@@QAEHPAEJ@Z
0000DBC6 0000DBEE ?Contains@VirtualBuffer@pdb_internal@@QAE_NPAX@Z
0000DBF5 0000DC9D ?OpenGlobals@DBI1@@UAEHPAPAUGSI@@@Z
0000DCA4 0000DD28 ?AddSec@DBI1@@UAEHGGJJ@Z
0000DD2F 0000DD63 ?wszCopy@@YAPAGPBG@Z
0000DD68 0000DDCC ?QuerySecMap@DBI1@@UAEHPAEPAJ@Z
0000DDD1 0000DDFE ?UnicodeLengthOfMBCS@@YAIPBDI@Z
0000DE05 0000DE2D ?_GetSZUnicodeFromSZUTF8@@YAPAGPBDPAGI@Z
0000DE32 0000DE67 ?IsAddrInSC@SC40@@QBEHGJ@Z
0000DE6C 0000DE93 ?_GetSZMBCSFromSZUnicode@@YAPADPBGAAVAllocator@@@Z
0000DE98 0000DEBF ?_GetSZUnicodeFromSZMBCS@@YAPAGPBDAAVAllocator@@@Z
0000DEC4 0000DEE8 ?_GetSZUnicodeFromSZUTF8@@YAPAGPBDAAVAllocator@@@Z
