0000A659 0000A6AC ?EnumNavigationStack@HLBC@@EAGJKKPAPAUIEnumHLITEM@@@Z
0000A6B1 0000A7D5 ?Clone@HLBC@@EAGJPAUIUnknown@@ABU_GUID@@PAPAU2@@Z
0000A7DA 0000A7F1 ?URelease@HLBC@@AAEKXZ
0000A7F6 0000A876 ?Create@HLBC@@SGJPAUIUnknown@@ABU_GUID@@PAPAXPAPAV1@@Z
0000A87B 0000A88F ?Release@HLBC_Unk@@UAGKXZ
0000A894 0000A8C5 ?FWzCmp@@YGHPBG0@Z
0000A8CA 0000A8F4 ?FSzCmp@@YGHPBD0@Z
0000A8F9 0000A939 ?FWzCchCmp@@YGHPBG0H@Z
0000A93E 0000A962 ?WzIndex@@YGPAGPBGH@Z
0000A967 0000A993 ?WzIndexRight@@YGPAGPBGH@Z
0000A998 0000A9F1 ?HlMultiByteToWideChar@@YGHIKPBDHPAGH@Z
0000A9F6 0000AB6A ?HlWideCharToMultiByte@@YGHIKPBGHPADHPBDPAH@Z
0000AB6F 0000ACA6 ?WchUpper@@YGGG@Z
0000ACAB 0000ADD7 ?FAlphaWch@@YGHG@Z
0000ADDC 0000AF08 ?FDigitWch@@YGHG@Z
0000AF0D 0000AF93 ?SzW2ADynamicCP@@YGPADKPBGPADHH@Z
0000AF98 0000B01D ?WzA2WDynamicCP@@YGPAGKPBDPAGHH@Z
0000B022 0000B065 ?WzDupWzToWz@@YGPAGPBGH@Z
0000B06A 0000B11E ?FWzCmpi@@YGHPBG0@Z
0000B123 0000B141 ?FreeMemAllocator@@YGXXZ
0000B146 0000B161 ??2@YAPAXI@Z
0000B166 0000B17F ??3@YAXPAX@Z
0000B184 0000B199 ?AddRef@CMalloc@@UAGKXZ
0000B19E 0000B1B3 ?Release@CMalloc@@UAGKXZ
0000B1B8 0000B1D2 ?QueryInterface@CMalloc@@UAGJABU_GUID@@PAPAX@Z
0000B1D7 0000B201 ?Alloc@CMalloc@@UAGPAXK@Z
0000B206 0000B233 ?Realloc@CMalloc@@UAGPAXPAXK@Z
