0003008D 000302BC _SetupCopyOEMInfW@32
000302D1 0003031D _SetupUninstallOEMInfA@12
00030322 00030A2C __SetupDiRegisterCoDeviceInstallers@20
00030A5D 00030C3C _RestartSingleDevice@16
00030C41 00031209 _RestartAllDevicesUsingDrivers@16
00031221 00031462 _pSetupCopyRelatedInfs@20
00031479 00031730 _SetupDiUnremoveDevice@8
00031741 00031C11 _SetupDiMoveDuplicateDevice@8
00031C35 0003254D _SetupDiChangeState@8
00032561 00032FB2 _InstallNtService@28
00033001 00033025 _SetupDiGetActualSectionToInstallA@24
0003302A 00033044 _SetupDiInstallDeviceInterfaces@8
00033049 00033063 _SetupDiRegisterCoDeviceInstallers@8
00033068 000348CD __SetupDiInstallDevice@12
00034A19 00034A2F _SetupDiInstallDriverFiles@8
00034A34 00034A4A _SetupDiInstallDevice@8
00034A4F 00034BED _SetupDiAskForOEMDisk@8
00034C01 00035347 _SelectOEMDriver@16
00035365 000353A8 _SetupDiSelectOEMDrv@12
000353AD 000353DF _pSetupAddPropPage@8
000353E4 0003547D _ExtensionPropSheetPageProc@12
00035491 0003588A _SetupDiGetClassDevPropertySheetsW@24
00035B99 00035C46 _SetupDiGetClassDevPropertySheetsA@24
00035C59 00035D55 __SetupDiGetClassRegistryProperty@32
00035D69 00035E0D _SetupDiGetClassRegistryPropertyA@32
00035E21 00035E6A _SetupDiGetClassRegistryPropertyW@32
00035E6F 00035F34 __SetupDiSetClassRegistryProperty@24
00035F49 00035FE7 _SetupDiSetClassRegistryPropertyA@24
00035FF9 0003602A _SetupDiSetClassRegistryPropertyW@24
0003602F 0003608B _pSetupFindUniqueKey@12
0003609D 000361CA _pSetupDeleteDevRegKeys@20
000361CF 00036292 _pSetupDeleteInterfaceDeviceKey@12
000362A9 000362C3 _SetupDiOpenClassRegKey@8
000362C8 0003632D _SetupDiOpenClassRegKeyExA@20
00036332 00036357 _SetupDiGetDeviceRegistryPropertyA@28
0003635C 000365F7 __SetupDiSetDeviceRegistryProperty@24
00036609 00036628 _SetupDiSetDeviceRegistryPropertyA@20
0003662D 0003664C _SetupDiSetDeviceRegistryPropertyW@20
00036651 000366FE _SetupDiDeleteDevRegKey@20
00036711 000367F7 _SetupDiDeleteDeviceInterfaceRegKey@12
00036809 00036944 __SetupDiGetCustomDeviceProperty@36
00036959 00036981 _SetupDiGetCustomDevicePropertyW@32
00036986 000369AE _SetupDiGetCustomDevicePropertyA@32
000369B3 00036B5A _SetupDiCreateDevRegKeyW@28
00036B71 00036BD7 _SetupDiCreateDeviceInterfaceRegKeyA@24
00036BDC 00036C45 _SetupDiCreateDevRegKeyA@28
00036C4A 00036C6C _pResourcePickerPropPageCallback@12
00036C71 00036C9F _pCheckEnableResourceChange@4
00036CA4 00036D22 _pGetMinLCPriority@12
00036D27 00036D97 _pDevRequiresResources@8
00036D9C 00036E38 _pGetHdrValues@24
00036E3D 00036EFB _pAlignValues@40
00036F00 00036FB3 _pFormatResString@28
00037025 00037072 _pConvertEditText@12
00037077 000370EE _pWarnResSettingNotEditable@8
000370F3 0003716D _pWarnNoSave@8
00037172 000371AC _pGetListViewItemData@12
000371B1 00037463 _pWriteResDesRangeToForced@24
00037468 00037659 _pWriteValuesToForced@44
0003765E 000377E2 _MakeResourceData@32
