00012193 000121C5 ?GetContextEncodedInfo@@YGXPAU_CONTEXT_ELEMENT@@PAPAEPAK@Z
000121E5 00012221 ?AddContextElement@@YGXPAU_CONTEXT_ELEMENT@@@Z
00012230 00012246 ?UnlockStore@@YGXPAU_CERT_STORE@@@Z
0001224B 00012263 ?AddPropElement@@YGXPAU_CONTEXT_ELEMENT@@PAU_PROP_ELEMENT@@@Z
00012268 0001228B ?AddPropElement@@YGXPAPAU_PROP_ELEMENT@@PAU1@@Z
00012290 000122A8 ?DeleteProperty@@YGXPAU_CONTEXT_ELEMENT@@K@Z
000122AD 000122D8 ?DeleteProperty@@YGXPAPAU_PROP_ELEMENT@@K@Z
000122DD 0001232F _CryptHashCertificate@28
00012334 000123D0 ?DefaultHashCertificate@@YGHIPBEKPAEPAK@Z
000123D5 00012428 _CertAddSerializedElementToStore@32
0001242D 0001248A ?ReadFromMemory@@YGHPAX0K@Z
000124A1 000125DD ?ArchiveManifoldCertificatesInStore@@YGXPAU_CERT_STORE@@@Z
000125FA 00012617 _CertDuplicateCRLContext@4
0001261C 0001270D _CertOpenStore@20
00012712 00012720 _CertPerfIncrementStoreCurrentCount@0
00012725 00012744 _CryptImportPublicKeyInfo@16
00012749 000127D6 _CryptImportPublicKeyInfoEx@28
000127DB 0001282D ?CryptConvertPublicKeyInfo@@YGHKPAU_CERT_PUBLIC_KEY_INFO@@KPAX1PAK@Z
00012832 00012889 ?IsValidRegValueNameForContext@@YGHKPBXQBG@Z
0001288E 000128DD ?GetCertRegValueName@@YGHPBU_CERT_CONTEXT@@QAG@Z
000128E2 00012908 _CertGetCTLContextProperty@16
000129B5 000129DC ?Asn1RSAPublicKeyStrucDecodeEx@@YGHKPBDPBEKKPAU_CRYPT_DECODE_PARA@@PAXPAK@Z
00012A18 00012A6F _PkiAsn1DecodeAndAllocInfoEx@36
00012A74 00012A92 _PkiAsn1FreeInfo@12
00012A97 00012AC1 _I_CryptGetAsn1Decoder@4
00012AC6 00012AEE ?I_CryptGetAsn1Tls@@YGPAU_ASN1_TLS_ENTRY@@K@Z
00012AF3 00012B15 ?Asn1X509GetOctetString@@YGXPAUtagASN1octetstring_t@@KPAU_CRYPTOAPI_BLOB@@PAPAEPAJ@Z
00012B1A 00012B43 _PkiAsn1GetOctetString@24
00012B48 00012B6A ?Asn1X509GetBit@@YGXPAUtagASN1bitstring_t@@KPAU_CRYPT_BIT_BLOB@@PAPAEPAJ@Z
00012B6F 00012BAC _PkiAsn1GetBitString@24
00012BB1 00012C01 ?Asn1X509GetAlgorithm@@YGXPAUAlgorithmIdentifier@@KPAU_CRYPT_ALGORITHM_IDENTIFIER@@PAPAEPAJ@Z
00012C06 00012C31 _PkiAsn1GetAny@20
00012C36 00012CB3 ?Asn1RSAPublicKeyStrucDecodeExCallback@@YGHPAXKPAU_CRYPT_DECODE_PARA@@0PAJ@Z
00012CB8 00012CE3 _PkiAsn1ReverseBytes@8
00012CE8 00012F17 _CryptMsgCountersignEncoded@28
00012F32 00012F62 _PkiAsn1Decode@20
00012F67 00012FDD _CertGetCertificateChain@32
00012FE2 00013007 ?GetDefaultEngine@CDefaultChainEngineMgr@@QAEHPAXPAPAX@Z
0001300C 00013074 ?GetDefaultCurrentUserEngine@CDefaultChainEngineMgr@@QAEHPAPAX@Z
00013079 0001309E _PkiAsn1FromChoiceOfTime@16
000130A3 00013128 _PkiAsn1FromUTCTime@8
00013167 0001318F _CertOIDToAlgId@4
00013194 000131AB ?InitializeRoamingLogoffNotification@@YGXXZ
000131B0 000131DA ?IsImpersonatingUser@CDefaultChainEngineMgr@@AAEHPAPAX@Z
000131DF 0001322E _A_SHAInit@4
0001322E 000144CD _SHATransformP3@8
00014508 000145D1 _A_SHAUpdate@12
0001462B 000146DD _A_SHAFinal@8
000146E2 00014709 _DWORDToBigEndian@12
0001470E 00014733 ?IsCurrentUserTrustedPublishersAllowed@@YGHXZ
00014772 00014796 ?IsLocalMachineTrustedPublishersAllowed@@YGHXZ
0001479B 000147A9 _CertPerfIncrementCertElementCurrentCount@0
000147AE 000147D3 _CryptDecodeObject@28
